               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048356,            0.028318,            0.015821,              0.4571,             0.46134,             0.42434,             0.20294,               0.054,            0.017603,            0.025336,            0.009307,            0.009307,            0.009307
                  37,            0.049166,            0.028318,            0.014921,             0.53525,             0.38729,              0.4167,             0.18366,            0.054684,            0.017711,            0.023654,           0.0092872,           0.0092872,           0.0092872
                  38,            0.048825,            0.028447,            0.014285,             0.42821,             0.35494,             0.35063,             0.16708,            0.054808,            0.018044,            0.030638,           0.0092674,           0.0092674,           0.0092674
                  39,            0.048338,            0.027229,            0.014025,             0.48734,             0.40777,             0.43024,             0.19536,             0.05387,            0.017358,            0.027203,           0.0092476,           0.0092476,           0.0092476
                  40,            0.048073,            0.027973,            0.013996,             0.47433,             0.39023,             0.37311,             0.17718,            0.056333,            0.017735,            0.029696,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047761,            0.027929,            0.013617,             0.53102,             0.41149,             0.40376,             0.19326,            0.053573,             0.01759,             0.02805,            0.009208,            0.009208,            0.009208
                  42,            0.047753,            0.028263,            0.014167,             0.44547,             0.40671,             0.38945,             0.18908,            0.052909,            0.017403,            0.027257,           0.0091882,           0.0091882,           0.0091882
                  43,            0.047319,            0.027674,            0.013806,             0.44764,             0.41611,             0.41746,             0.19262,            0.053051,             0.01756,            0.024664,           0.0091684,           0.0091684,           0.0091684
                  44,            0.047291,            0.027101,            0.012813,             0.46055,             0.45272,             0.39678,             0.18369,            0.054885,            0.017659,            0.026129,           0.0091486,           0.0091486,           0.0091486
                  45,              0.0476,            0.028521,            0.012948,             0.52796,             0.41937,             0.42422,             0.21048,            0.055086,            0.017375,            0.025669,           0.0091288,           0.0091288,           0.0091288
                  46,            0.045846,            0.027955,            0.011641,              0.4844,             0.47135,             0.44436,             0.23296,            0.052689,            0.017226,            0.026562,            0.009109,            0.009109,            0.009109
                  47,            0.045608,            0.026172,            0.011833,             0.43137,             0.40769,             0.39687,             0.21048,            0.052455,            0.017261,            0.029747,           0.0090892,           0.0090892,           0.0090892
                  48,            0.046666,            0.027438,            0.013013,             0.43777,             0.44489,             0.39889,             0.19339,            0.054191,            0.017418,            0.028697,           0.0090694,           0.0090694,           0.0090694
                  49,            0.047178,            0.027127,            0.013487,             0.57677,             0.44146,             0.46097,             0.22559,            0.052668,             0.01737,            0.024209,           0.0090496,           0.0090496,           0.0090496
                  50,            0.046165,             0.02821,            0.011892,             0.52497,              0.4196,              0.4353,             0.20439,            0.054385,            0.017708,            0.026627,           0.0090298,           0.0090298,           0.0090298
                  51,            0.046318,              0.0277,            0.012669,             0.50504,             0.42989,             0.41453,             0.20407,            0.053316,            0.017374,            0.025337,             0.00901,             0.00901,             0.00901
                  52,            0.045577,            0.028184,            0.011834,             0.46287,             0.43261,             0.38902,             0.18866,            0.055531,            0.017456,             0.02866,           0.0089902,           0.0089902,           0.0089902
                  53,            0.046218,            0.027419,            0.012244,             0.46179,             0.44057,             0.42585,             0.20738,            0.052958,            0.017413,             0.02277,           0.0089704,           0.0089704,           0.0089704
